"Country or Area","Year","Value"
"European Union","2015","236647.07633501"
"European Union","2014","236197.227945464"
"European Union","2013","233020.99857604"
"European Union","2012","232607.848804352"
"European Union","2011","235137.521706368"
"European Union","2010","239061.267251087"
"European Union","2009","249087.020352094"
"European Union","2008","265155.547708987"
"European Union","2007","275383.063088777"
"European Union","2006","274604.876807983"
"European Union","2005","285768.875086356"
"European Union","2004","292931.593221703"
"European Union","2003","287321.88486383"
"European Union","2002","289748.180333802"
"European Union","2001","301460.513732697"
"European Union","2000","303953.143977774"
"European Union","1999","305081.283109447"
"European Union","1998","325237.072287425"
"European Union","1997","346965.725028607"
"European Union","1996","349939.069702964"
"European Union","1995","343822.539563638"
"European Union","1994","341241.753098127"
"European Union","1993","338563.18752591"
"European Union","1992","348296.824036135"
"European Union","1991","362510.381774184"
"European Union","1990","380749.440476994"
"Finland","2018","4768.96979736919"
"Finland","2017","4819.597965936"
"Finland","2016","4777.3399056021"
"Finland","2015","4764.8148896678"
"Finland","2014","4759.14349884992"
"Finland","2013","4699.4612906348"
"Finland","2012","4660.70074782155"
"Finland","2011","4668.6324085369"
"Finland","2010","4808.35336919314"
"Finland","2009","5202.25423007975"
"Finland","2008","6066.75166476883"
"Finland","2007","5910.67507181146"
"Finland","2006","5841.13519606538"
"Finland","2005","6046.21922958449"
"Finland","2004","5956.18811988198"
"Finland","2003","5869.94456610507"
"Finland","2002","5737.95445826682"
"Finland","2001","5697.2892661857"
"Finland","2000","5801.01417732687"
"Finland","1999","5726.7186809733"
"Finland","1998","5777.64820558434"
"Finland","1997","5953.74908668808"
"Finland","1996","5939.94969651621"
"Finland","1995","5902.75368628708"
"Finland","1994","5765.75475299979"
"Finland","1993","5653.94227823629"
"Finland","1992","5487.99937694163"
"Finland","1991","5916.80902263813"
"Finland","1990","6356.06136523295"
"France","2018","40322.2605935786"
"France","2017","42013.0705833521"
"France","2016","40505.7368775994"
"France","2015","41567.8895029112"
"France","2014","41735.9706720275"
"France","2013","40515.5852205573"
"France","2012","40739.473555695"
"France","2011","40527.3190980648"
"France","2010","41992.934972273"
"France","2009","44248.7604105185"
"France","2008","45787.2934170796"
"France","2007","46566.4821607"
"France","2006","46399.2833054503"
"France","2005","47689.1117354602"
"France","2004","48632.2691999364"
"France","2003","50238.7893394161"
"France","2002","52126.0019492162"
"France","2001","54870.2918022945"
"France","2000","55215.2188610648"
"France","1999","56292.7559740063"
"France","1998","62148.3939703524"
"France","1997","68822.6336295322"
"France","1996","68891.3354910316"
"France","1995","67373.3155891184"
"France","1994","65846.0942114304"
"France","1993","65768.9804653464"
"France","1992","66582.5085564454"
"France","1991","66928.9073818094"
"France","1990","66380.5876202375"
"Germany","2018","35518.2863951168"
"Germany","2017","37540.9064998463"
"Germany","2016","37834.2994090916"
"Germany","2015","38667.069053353"
"Germany","2014","38050.342307975"
"Germany","2013","37406.7371381691"
